import time: self [us] | cumulative | imported package
import time:        69 |         69 | winreg
import time:       121 |        121 |   _io
import time:        21 |         21 |   marshal
import time:       124 |        124 |   nt
import time:       475 |        739 | _frozen_importlib_external
import time:       482 |        482 |   time
import time:       167 |        649 | zipimport
import time:        35 |         35 |     _codecs
import time:       370 |        404 |   codecs
import time:       494 |        494 |   encodings.aliases
import time:       760 |       1658 | encodings
import time:       246 |        246 | encodings.utf_8
import time:        29 |         29 |   _codecs_cn
import time:        32 |         32 |   _multibytecodec
import time:      1209 |       1269 | encodings.gbk
import time:        31 |         31 | _signal
import time:        20 |         20 |     _abc
import time:       108 |        128 |   abc
import time:        89 |        216 | io
import time:        50 |         50 |       _stat
import time:        75 |        125 |     stat
import time:       644 |        644 |     _collections_abc
import time:        58 |         58 |       genericpath
import time:        56 |         56 |       _winapi
import time:       148 |        261 |     ntpath
import time:       406 |       1434 |   os
import time:       200 |        200 |   _sitebuiltins
import time:        73 |         73 |   errno
import time:       325 |        325 |   encodings.utf_8_sig
import time:       280 |        280 |     __future__
import time:       320 |        320 |       importlib
import time:        57 |        377 |     importlib.machinery
import time:       342 |        342 |       importlib._abc
import time:       362 |        362 |       types
import time:       138 |        842 |     importlib.util
import time:        91 |         91 |     itertools
import time:       284 |        284 |             keyword
import time:        59 |         59 |               _operator
import time:       365 |        423 |             operator
import time:       271 |        271 |             reprlib
import time:       232 |        232 |             _collections
import time:       845 |       2054 |           collections
import time:        48 |         48 |           _functools
import time:       673 |       2774 |         functools
import time:       550 |        550 |           contextlib
import time:      1181 |       1181 |             enum
import time:        61 |         61 |               _sre
import time:       561 |        561 |                 re._constants
import time:       447 |       1008 |               re._parser
import time:       284 |        284 |               re._casefix
import time:       617 |       1968 |             re._compiler
import time:       320 |        320 |             copyreg
import time:       581 |       4049 |           re
import time:       115 |        115 |               posix
import time:        78 |         78 |               posix
import time:       135 |        328 |             posixpath
import time:       285 |        612 |           fnmatch
import time:       623 |       5834 |         glob
import time:       564 |       9171 |       pathlib._abc
import time:       405 |        405 |         warnings
import time:       100 |        100 |         pwd
import time:        73 |         73 |         grp
import time:       533 |       1109 |       pathlib._local
import time:       471 |      10751 |     pathlib
import time:      1014 |      13353 |   __editable___efinance_0_5_7_finder
import time:       433 |        433 |   _distutils_hack
import time:       340 |        340 |     pywin32_system32
import time:       549 |        889 |   pywin32_bootstrap
import time:       281 |        281 |   sitecustomize
import time:       164 |        164 |   usercustomize
import time:      1896 |      19044 | site
import time:       369 |        369 | linecache
import time:       271 |        271 |         concurrent
import time:       757 |        757 |               textwrap
import time:       321 |        321 |               _colorize
import time:       718 |       1795 |             traceback
import time:       299 |        299 |               _weakrefset
import time:       570 |        868 |             weakref
import time:        32 |         32 |               _string
import time:       541 |        572 |             string
import time:       566 |        566 |             threading
import time:        33 |         33 |             atexit
import time:      1261 |       5092 |           logging
import time:       583 |       5675 |         concurrent.futures._base
import time:       332 |       6277 |       concurrent.futures
import time:        35 |         35 |         _heapq
import time:       313 |        348 |       heapq
import time:      3859 |       3859 |         _socket
import time:        81 |         81 |           math
import time:       670 |        670 |           select
import time:       863 |       1613 |         selectors
import time:      1054 |       6525 |       socket
import time:        66 |         66 |           _locale
import time:      1620 |       1685 |         locale
import time:       563 |        563 |         signal
import time:       292 |        292 |         fcntl
import time:        50 |         50 |         msvcrt
import time:      1024 |       3612 |       subprocess
import time:      1759 |       1759 |         _ssl
import time:        61 |         61 |             _struct
import time:       385 |        445 |           struct
import time:        41 |         41 |           binascii
import time:       418 |        903 |         base64
import time:      2010 |       4670 |       ssl
import time:       304 |        304 |       asyncio.constants
import time:       745 |        745 |             _ast
import time:       912 |       1656 |           ast
import time:        51 |         51 |               _opcode
import time:       701 |        701 |               _opcode_metadata
import time:       678 |       1429 |             opcode
import time:       920 |       2349 |           dis
import time:       303 |        303 |             token
import time:        34 |         34 |             _tokenize
import time:       879 |       1215 |           tokenize
import time:        36 |         36 |             _typing
import time:      1948 |       1984 |           typing
import time:      1540 |       8743 |         inspect
import time:       248 |       8990 |       asyncio.coroutines
import time:        29 |         29 |           _contextvars
import time:       254 |        282 |         contextvars
import time:       200 |        200 |         asyncio.format_helpers
import time:       238 |        238 |           asyncio.base_futures
import time:       265 |        265 |           asyncio.exceptions
import time:       228 |        228 |           asyncio.base_tasks
import time:       679 |       1409 |         _asyncio
import time:       573 |       2463 |       asyncio.events
import time:       296 |        296 |       asyncio.futures
import time:       261 |        261 |       asyncio.protocols
import time:       404 |        404 |         asyncio.transports
import time:       228 |        228 |         asyncio.log
import time:      2254 |       2885 |       asyncio.sslproto
import time:       221 |        221 |           asyncio.mixins
import time:       467 |        688 |         asyncio.locks
import time:       336 |        336 |           asyncio.queues
import time:       469 |        469 |           asyncio.timeouts
import time:       536 |       1340 |         asyncio.tasks
import time:       308 |       2336 |       asyncio.staggered
import time:       244 |        244 |       asyncio.trsock
import time:      1016 |      40222 |     asyncio.base_events
import time:       377 |        377 |     asyncio.runners
import time:       438 |        438 |     asyncio.streams
import time:       296 |        296 |     asyncio.subprocess
import time:       341 |        341 |     asyncio.taskgroups
import time:       229 |        229 |     asyncio.threads
import time:      1318 |       1318 |       _overlapped
import time:       584 |        584 |       asyncio.base_subprocess
import time:       587 |        587 |       asyncio.proactor_events
import time:       610 |        610 |       asyncio.selector_events
import time:       332 |        332 |       asyncio.windows_utils
import time:       659 |       4087 |     asyncio.windows_events
import time:       495 |      46481 |   asyncio
import time:       713 |        713 |     gettext
import time:      1000 |       1713 |   argparse
import time:        62 |         62 |     _csv
import time:       602 |        664 |   csv
import time:        41 |         41 |         _json
import time:       346 |        387 |       json.scanner
import time:       512 |        898 |     json.decoder
import time:       381 |        381 |     json.encoder
import time:       400 |       1678 |   json
import time:       390 |        390 |   numbers
import time:       304 |        304 |     urllib
import time:        33 |         33 |       _bisect
import time:       259 |        291 |     bisect
import time:       258 |        258 |     email
import time:      1085 |       1085 |       _hashlib
import time:        46 |         46 |       _blake2
import time:       340 |       1470 |     hashlib
import time:       674 |        674 |       http
import time:       529 |        529 |           email.errors
import time:       312 |        312 |               email.quoprimime
import time:       283 |        283 |               email.base64mime
import time:       420 |        420 |                   quopri
import time:       311 |        730 |                 email.encoders
import time:       391 |       1120 |               email.charset
import time:       543 |       2257 |             email.header
import time:        83 |         83 |                 _datetime
import time:       256 |        339 |               datetime
import time:      1170 |       1170 |                 ipaddress
import time:       921 |       2091 |               urllib.parse
import time:       377 |        377 |               email._parseaddr
import time:       512 |       3317 |             email.utils
import time:       357 |       5931 |           email._policybase
import time:       491 |       6950 |         email.feedparser
import time:       388 |       7338 |       email.parser
import time:       329 |        329 |         email._encoded_words
import time:       207 |        207 |         email.iterators
import time:       544 |       1079 |       email.message
import time:       895 |       9985 |     http.client
import time:        74 |         74 |         zlib
import time:       308 |        308 |           _compression
import time:       576 |        576 |           _bz2
import time:       343 |       1226 |         bz2
import time:       496 |        496 |           _lzma
import time:       376 |        872 |         lzma
import time:       848 |       3018 |       shutil
import time:        45 |         45 |         _random
import time:       697 |        742 |       random
import time:       603 |       4361 |     tempfile
import time:       374 |        374 |       urllib.response
import time:       345 |        718 |     urllib.error
import time:       331 |        331 |     nturl2path
import time:      1239 |      18954 |   urllib.request
import time:       509 |        509 |     _uuid
import time:       513 |       1022 |   uuid
import time:       259 |        259 |       src
import time:       164 |        423 |     src.utils
import time:       607 |        607 |           zipfile._path.glob
import time:       774 |       1381 |         zipfile._path
import time:       933 |       2313 |       zipfile
import time:       588 |        588 |       importlib.metadata._meta
import time:       483 |        483 |       importlib.metadata._collections
import time:       307 |        307 |       importlib.metadata._functools
import time:       248 |        248 |       importlib.metadata._itertools
import time:       488 |        488 |             importlib.resources.abc
import time:       621 |       1109 |           importlib.resources._common
import time:       245 |        245 |           importlib.resources._functional
import time:       329 |       1682 |         importlib.resources
import time:       452 |       2134 |       importlib.abc
import time:      1004 |       7073 |     importlib.metadata
import time:       332 |       7827 |   src.utils.dependency_bootstrap
import time:       222 |        222 |           numpy._utils._convertions
import time:       206 |        428 |         numpy._utils
import time:       356 |        784 |       numpy._globals
import time:       162 |        162 |       numpy._expired_attrs_2_0
import time:       137 |        137 |       numpy.version
import time:        38 |         38 |         numpy._distributor_init_local
import time:       151 |        189 |       numpy._distributor_init
import time:       190 |        190 |                 numpy._utils._inspect
import time:       543 |        543 |                   numpy.exceptions
import time:       408 |        408 |                   numpy._core._exceptions
import time:       195 |        195 |                   numpy._core.printoptions
import time:       340 |        340 |                   numpy.dtypes
import time:      3535 |       5020 |                 numpy._core._multiarray_umath
import time:       323 |       5532 |               numpy._core.overrides
import time:       566 |       6098 |             numpy._core.multiarray
import time:       239 |        239 |             numpy._core.umath
import time:       160 |        160 |               numpy._core._string_helpers
import time:       280 |        280 |               numpy._core._type_aliases
import time:       202 |        202 |               numpy._core._dtype
import time:       337 |        978 |             numpy._core.numerictypes
import time:       332 |        332 |                       _compat_pickle
import time:        81 |         81 |                       _pickle
import time:       844 |       1256 |                     pickle
import time:       263 |        263 |                     numpy._core._ufunc_config
import time:       256 |       1774 |                   numpy._core._methods
import time:       694 |       2467 |                 numpy._core.fromnumeric
import time:       323 |       2790 |               numpy._core.shape_base
import time:       527 |        527 |               numpy._core.arrayprint
import time:       203 |        203 |               numpy._core._asarray
import time:       686 |       4205 |             numpy._core.numeric
import time:       348 |        348 |             numpy._core.records
import time:       252 |        252 |             numpy._core.memmap
import time:       244 |        244 |             numpy._core.function_base
import time:       498 |        498 |             numpy._core._machar
import time:       334 |        334 |             numpy._core.getlimits
import time:       322 |        322 |             numpy._core.einsumfunc
import time:       761 |        761 |             numpy._core._add_newdocs
import time:       365 |        365 |             numpy._core._add_newdocs_scalars
import time:       182 |        182 |             numpy._core._dtype_ctypes
import time:       883 |        883 |                 sysconfig
import time:      1038 |       1038 |                 _ctypes
import time:       517 |        517 |                 ctypes._endian
import time:       942 |       3378 |               ctypes
import time:       566 |       3943 |             numpy._core._internal
import time:       307 |        307 |             numpy._pytesttester
import time:       712 |      19782 |           numpy._core
import time:        44 |      19826 |         numpy._core._multiarray_umath
import time:       288 |      20114 |       numpy.__config__
import time:       158 |        158 |           numpy.lib._array_utils_impl
import time:       299 |        456 |         numpy.lib.array_utils
import time:       254 |        254 |         numpy.lib.introspect
import time:       264 |        264 |         numpy.lib.mixins
import time:       531 |        531 |                   _wmi
import time:       749 |       1280 |                 platform
import time:       278 |       1557 |               numpy.lib._utils_impl
import time:       311 |       1868 |             numpy.lib.format
import time:       315 |        315 |             numpy.lib._datasource
import time:       366 |        366 |             numpy.lib._iotools
import time:       584 |       3132 |           numpy.lib._npyio_impl
import time:       168 |       3299 |         numpy.lib.npyio
import time:      1747 |       1747 |               numpy.lib._ufunclike_impl
import time:       300 |       2047 |             numpy.lib._type_check_impl
import time:       263 |       2309 |           numpy.lib._scimath_impl
import time:       171 |       2480 |         numpy.lib.scimath
import time:       257 |        257 |           numpy.lib._stride_tricks_impl
import time:       221 |        478 |         numpy.lib.stride_tricks
import time:       226 |        226 |                 numpy.linalg.linalg
import time:       355 |        355 |                   numpy.lib._twodim_base_impl
import time:       441 |        441 |                   numpy.linalg._umath_linalg
import time:       402 |        402 |                     numpy._typing._nested_sequence
import time:       235 |        235 |                     numpy._typing._nbit
import time:       561 |        561 |                     numpy._typing._char_codes
import time:       211 |        211 |                     numpy._typing._scalars
import time:       159 |        159 |                     numpy._typing._shape
import time:      2326 |       2326 |                     numpy._typing._dtype_like
import time:      1317 |       1317 |                     numpy._typing._array_like
import time:       499 |       5707 |                   numpy._typing
import time:      1139 |       7640 |                 numpy.linalg._linalg
import time:       257 |       8123 |               numpy.linalg
import time:       385 |       8507 |             numpy.matrixlib.defmatrix
